[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT `id`,`projectId`,`en_name`,`cn_name` FROM `gt_project_agent` WHERE projectId = 1 ORDER BY id desc [ RunTime:0.000142s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 49911e3ce71b4510dda615283121d865.php 第 38 行.
[ 2016-01-05T21:02:10+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch 49911e3ce71b4510dda615283121d865.php 第 43 行.
[ 2016-01-05T21:02:10+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004132s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000173s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:10+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003096s ]
[ 2016-01-05T21:02:10+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000155s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004479s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000190s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003426s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000173s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003544s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | SQL: SELECT `id`,`projectId`,`en_name`,`cn_name` FROM `gt_project_agent` WHERE projectId = 1 ORDER BY id desc [ RunTime:0.000135s ]
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: gt_uname 49911e3ce71b4510dda615283121d865.php 第 38 行.
[ 2016-01-05T21:02:37+08:00 ] /?m=Agent&a=index&pid=1 | NOTIC: [8] Undefined index: pitch 49911e3ce71b4510dda615283121d865.php 第 43 行.
[ 2016-01-05T21:02:38+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003642s ]
[ 2016-01-05T21:02:38+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000190s ]
[ 2016-01-05T21:02:38+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:38+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003757s ]
[ 2016-01-05T21:02:38+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000162s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003288s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000222s ]
[ 2016-01-05T21:02:39+08:00 ] / | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003481s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000131s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.003076s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SELECT `id`,`cateId`,`title` FROM `gt_project_article` WHERE ( `status` = 1 ) AND ( `recommend` = 1 ) AND ( `cateId` = 11 ) ORDER BY `sort` ASC LIMIT 7  [ RunTime:0.000101s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.002976s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SELECT * FROM `gt_project_category` WHERE ( `status` = 1 ) AND ( `recommend` = 1 ) AND ( `pid` = 1 ) ORDER BY `sort` ASC LIMIT 5  [ RunTime:0.000216s ]
[ 2016-01-05T21:02:39+08:00 ] / | SQL: SELECT * FROM `gt_project_category` WHERE ( `status` = 1 ) AND ( `recommend` = 1 ) AND ( `pid` = 2 ) ORDER BY `sort` ASC LIMIT 4  [ RunTime:0.000128s ]
[ 2016-01-05T21:02:39+08:00 ] / | NOTIC: [8] Undefined index: gt_uname 0ef38bbeb2228e1af7612d90c638786f.php 第 38 行.
